Població a 1 de gener. Per sexe
Catalunya
Valor
Unitats: Nombre de persones.
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10328&col=1&tema=XIFPO
;Total;Homes;Dones
2022;7747709;3799485;3948224
2021;7739758;3797115;3942643
2020;7722203;3787684;3934519
2019;7619494;3732732;3886762
2018;7543825;3694082;3849743
2017;7496276;3673224;3823052
2016;7448332;3652339;3795993
2015;7424754;3642789;3781965
2014;7433894;3652647;3781247
2013;7478968;3683896;3795072
2012;7515398;3713546;3801852
2011;7501853;3715592;3786261
2010;7462044;3699609;3762435
2009;7416605;3681611;3734994
2008;7298313;3620365;3677948
2007;7146734;3538467;3608267
2006;6994937;3459688;3535249
2005;6846692;3378911;3467781
2004;6693297;3293661;3399636
2003;6558740;3222555;3336185
2002;6398166;3134140;3264026
2001;6253305;3059811;3193494
2000;6174547;3015079;3159468
1999;6147717;3001699;3146018
1998;6125339;2991004;3134335
1997;6110000;2983860;3126140
1996;6104729;2982367;3122362
1995;6100983;2982307;3118676
1994;6100436;2983411;3117025
1993;6096899;2982531;3114368
1992;6087339;2977886;3109453
1991;6080751;2974833;3105918
1990;6062273;2966266;3096007
1989;6041469;2956623;3084846
1988;6021225;2947283;3073942
1987;5999320;2937195;3062125
1986;5978032;2927454;3050578
1985;5980322;2929941;3050381
1984;5978426;2929616;3048810
1983;5974821;2928748;3046073
1982;5962723;2923258;3039465
1981;5949829;2916527;3033302
Població a 1 de gener. Per sexe
Espanya
Valor
Unitats: Nombre de persones.
Font: INE. Xifres de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10328&col=1&tema=XIFPO
;Total;Homes;Dones
2022;47432893;23237152;24195741
2021;47398695;23227282;24171413
2020;47332614;23199313;24133301
2019;46937060;23009259;23927801
2018;46658447;22881882;23776565
2017;46527039;22834227;23692812
2016;46440099;22807464;23632635
2015;46449565;22826546;23623019
2014;46512199;22877461;23634738
2013;46727890;23017758;23710132
2012;46818216;23099009;23719207
2011;46667175;23049476;23617698
2010;46486621;22982272;23504349
2009;46239271;22880534;23358736
2008;45668938;22591484;23077454
2007;44784659;22118970;22665689
2006;44009969;21719317;22290652
2005;43296335;21335283;21961052
2004;42547454;20924581;21622873
2003;41827836;20542468;21285368
2002;41035271;20115522;20919749
2001;40665545;19923892;20741653
2000;40470182;19826339;20643843
1999;40303568;19744257;20559311
1998;40143449;19664565;20478884
1997;39971329;19579778;20391551
1996;39808374;19500458;20307916
1995;39639726;19417999;20221727
1994;39458489;19328299;20130190
1993;39264034;19231389;20032646
1992;39051336;19126029;19925307
1991;38881416;19042818;19838598
1990;38853227;19039785;19813442
1989;38802300;19023679;19778621
1988;38731578;18995710;19735868
1987;38638052;18954956;19683096
1986;38531195;18906124;19625072
1985;38407829;18849258;19558571
1984;38252899;18775089;19477809
1983;38090151;18695393;19394759
1982;37881873;18591423;19290449
1981;37635389;18467449;19167940

